 % Time.............:    1.5999999959603883E-004
 % Distribution.....:            0
 % Fluid flag.......:            0
 % Vaporization flag:            1
 % Temperature flag.:            1
 %    ID      Diameter         X position        Y position        X velocity       Y velocity           Mass            Temperature
       1    2.95949821E-06    1.21702901E-04    1.21694238E-04    8.08601266E-03   -2.53468674E-04    1.35722822E-14    2.85475897E+02
       2    3.95462758E-06    2.07446630E-04    2.07316834E-04    1.26538815E-01   -4.31250984E-04    3.23828752E-14    2.87521937E+02
       3    3.95462758E-06    2.07446630E-04    2.07316834E-04    1.26538815E-01   -4.31250984E-04    3.23828752E-14    2.87521937E+02
       4    4.95166606E-06    2.96646003E-04    2.96191991E-04    4.46932365E-01   -6.08602265E-04    6.35700684E-14    2.89962695E+02
       5    4.95166606E-06    2.96646003E-04    2.96191991E-04    4.46932365E-01   -6.08602265E-04    6.35700684E-14    2.89962695E+02
       6    4.95166606E-06    2.96646003E-04    2.96191991E-04    4.46932365E-01   -6.08602265E-04    6.35700684E-14    2.89962695E+02
       7    5.51166240E-06    3.43134906E-04    3.42437620E-04    6.88429486E-01   -6.98784373E-04    8.76690820E-14    2.91298485E+02
       8    5.95027539E-06    3.76793472E-04    3.75891808E-04    8.91724729E-01   -7.63402682E-04    1.10308717E-13    2.92292222E+02
       9    5.95027539E-06    3.76793472E-04    3.75891808E-04    8.91724729E-01   -7.63402682E-04    1.10308717E-13    2.92292222E+02
      10    5.95027539E-06    3.76793472E-04    3.75891808E-04    8.91724729E-01   -7.63402682E-04    1.10308717E-13    2.92292222E+02
      11    5.95027539E-06    3.76793472E-04    3.75891808E-04    8.91724729E-01   -7.63402682E-04    1.10308717E-13    2.92292222E+02
      12    6.94998091E-06    4.43826809E-04    4.42454257E-04    1.36109377E+00   -8.90917109E-04    1.75771909E-13    2.94346601E+02
      13    6.94998091E-06    4.43826809E-04    4.42454257E-04    1.36109377E+00   -8.90917109E-04    1.75771909E-13    2.94346601E+02
      14    6.94998091E-06    4.43826809E-04    4.42454257E-04    1.36109377E+00   -8.90917109E-04    1.75771909E-13    2.94346601E+02
      15    6.94998091E-06    4.43826809E-04    4.42454257E-04    1.36109377E+00   -8.90917109E-04    1.75771909E-13    2.94346601E+02
      16    6.94998091E-06    4.43826809E-04    4.42454257E-04    1.36109377E+00   -8.90917109E-04    1.75771909E-13    2.94346601E+02
