 % Time.............:    5.9999999848514562E-004
 % Distribution.....:            0
 % Fluid flag.......:            0
 % Vaporization flag:            1
 % Temperature flag.:   -1.32555305E+24
 %    ID      Diameter         X position        Y position        X velocity       Y velocity           Mass            Temperature
       1    2.26719940E-06    1.20779052E-04    1.20778899E-04    3.13058319E-13   -1.52315914E-04    6.10193796E-15    3.08000000E+02
       2    2.90297443E-06    1.63905354E-04    1.63905104E-04    7.29775234E-09   -2.49705180E-04    1.28093846E-14    3.08000000E+02
       3    3.47407416E-06    2.11203332E-04    2.11202973E-04    1.58430049E-06   -3.57594111E-04    2.19541128E-14    3.08000000E+02
       4    3.47407416E-06    2.11203332E-04    2.11202973E-04    1.58430049E-06   -3.57594111E-04    2.19541128E-14    3.08000000E+02
       5    4.57924401E-06    3.25096260E-04    3.25095115E-04    5.15704344E-04   -6.20680355E-04    5.02782313E-14    3.08000000E+02
       6    4.57924401E-06    3.25096260E-04    3.25095115E-04    5.15704344E-04   -6.20680355E-04    5.02782313E-14    3.08000000E+02
       7    4.57924401E-06    3.25096260E-04    3.25095115E-04    5.15704344E-04   -6.20680355E-04    5.02782313E-14    3.08000000E+02
       8    5.64310772E-06    4.60970940E-04    4.60960803E-04    9.10448662E-03   -9.34452999E-04    9.40922072E-14    3.08000000E+02
       9    5.64310772E-06    4.60970940E-04    4.60960803E-04    9.10448662E-03   -9.34452999E-04    9.40922072E-14    3.08000000E+02
      10    5.64310772E-06    4.60970940E-04    4.60960803E-04    9.10448662E-03   -9.34452999E-04    9.40922072E-14    3.08000000E+02
      11    5.64310772E-06    4.60970940E-04    4.60960803E-04    9.10448662E-03   -9.34452999E-04    9.40922072E-14    3.08000000E+02
      12    6.68634966E-06    6.14467817E-04    6.14418726E-04    4.74469250E-02   -1.27979717E-03    1.56518575E-13    3.08000000E+02
      13    6.68634966E-06    6.14467817E-04    6.14418726E-04    4.74469250E-02   -1.27979717E-03    1.56518575E-13    3.08000000E+02
      14    6.68634966E-06    6.14467817E-04    6.14418726E-04    4.74469250E-02   -1.27979717E-03    1.56518575E-13    3.08000000E+02
      15    6.68634966E-06    6.14467817E-04    6.14418726E-04    4.74469250E-02   -1.27979717E-03    1.56518575E-13    3.08000000E+02
      16    6.68634966E-06    6.14467817E-04    6.14418726E-04    4.74469250E-02   -1.27979717E-03    1.56518575E-13    3.08000000E+02
      17    7.71797148E-06    7.77840917E-04    7.77703603E-04    1.34895911E-01   -1.63304469E-03    2.40717766E-13    3.08000000E+02
      18    7.71797148E-06    7.77840917E-04    7.77703603E-04    1.34895911E-01   -1.63304469E-03    2.40717766E-13    3.08000000E+02
      19    7.71797148E-06    7.77840917E-04    7.77703603E-04    1.34895911E-01   -1.63304469E-03    2.40717766E-13    3.08000000E+02
      20    7.71797148E-06    7.77840917E-04    7.77703603E-04    1.34895911E-01   -1.63304469E-03    2.40717766E-13    3.08000000E+02
      21    7.71797148E-06    7.77840917E-04    7.77703603E-04    1.34895911E-01   -1.63304469E-03    2.40717766E-13    3.08000000E+02
      22    8.74242024E-06    9.42700105E-04    9.42422903E-04    2.73964041E-01   -1.97570970E-03    3.49859500E-13    3.08000000E+02
      23    8.74242024E-06    9.42700105E-04    9.42422903E-04    2.73964041E-01   -1.97570970E-03    3.49859500E-13    3.08000000E+02
      24    8.74242024E-06    9.42700105E-04    9.42422903E-04    2.73964041E-01   -1.97570970E-03    3.49859500E-13    3.08000000E+02
      25    8.74242024E-06    9.42700105E-04    9.42422903E-04    2.73964041E-01   -1.97570970E-03    3.49859500E-13    3.08000000E+02
      26    8.74242024E-06    9.42700105E-04    9.42422903E-04    2.73964041E-01   -1.97570970E-03    3.49859500E-13    3.08000000E+02
      27    9.76209861E-06    1.10244625E-03    1.10198788E-03    4.54355392E-01   -2.29698677E-03    4.87111301E-13    3.08000000E+02
      28    9.76209861E-06    1.10244625E-03    1.10198788E-03    4.54355392E-01   -2.29698677E-03    4.87111301E-13    3.08000000E+02
      29    9.76209861E-06    1.10244625E-03    1.10198788E-03    4.54355392E-01   -2.29698677E-03    4.87111301E-13    3.08000000E+02
      30    9.76209861E-06    1.10244625E-03    1.10198788E-03    4.54355392E-01   -2.29698677E-03    4.87111301E-13    3.08000000E+02
      31    9.76209861E-06    1.10244625E-03    1.10198788E-03    4.54355392E-01   -2.29698677E-03    4.87111301E-13    3.08000000E+02
      32    1.07784121E-05    1.25292552E-03    1.25225914E-03    6.61698170E-01   -2.59205339E-03    6.55636296E-13    3.08000000E+02
      33    1.07784121E-05    1.25292552E-03    1.25225914E-03    6.61698170E-01   -2.59205339E-03    6.55636296E-13    3.08000000E+02
      34    1.07784121E-05    1.25292552E-03    1.25225914E-03    6.61698170E-01   -2.59205339E-03    6.55636296E-13    3.08000000E+02
      35    1.07784121E-05    1.25292552E-03    1.25225914E-03    6.61698170E-01   -2.59205339E-03    6.55636296E-13    3.08000000E+02
      36    1.07784121E-05    1.25292552E-03    1.25225914E-03    6.61698170E-01   -2.59205339E-03    6.55636296E-13    3.08000000E+02
      37    1.17922363E-05    1.39204317E-03    1.39115510E-03    8.82822934E-01   -2.85979363E-03    8.58592628E-13    3.08000000E+02
      38    1.17922363E-05    1.39204317E-03    1.39115510E-03    8.82822934E-01   -2.85979363E-03    8.58592628E-13    3.08000000E+02
      39    1.17922363E-05    1.39204317E-03    1.39115510E-03    8.82822934E-01   -2.85979363E-03    8.58592628E-13    3.08000000E+02
      40    1.17922363E-05    1.39204317E-03    1.39115510E-03    8.82822934E-01   -2.85979363E-03    8.58592628E-13    3.08000000E+02
      41    1.28041499E-05    1.51912524E-03    1.51801195E-03    1.10759178E+00   -3.10111364E-03    1.09913460E-12    3.08000000E+02
      42    1.28041499E-05    1.51912524E-03    1.51801195E-03    1.10759178E+00   -3.10111364E-03    1.09913460E-12    3.08000000E+02
      43    1.28041499E-05    1.51912524E-03    1.51801195E-03    1.10759178E+00   -3.10111364E-03    1.09913460E-12    3.08000000E+02
      44    1.28041499E-05    1.51912524E-03    1.51801195E-03    1.10759178E+00   -3.10111364E-03    1.09913460E-12    3.08000000E+02
      45    1.38145564E-05    1.63436633E-03    1.63303132E-03    1.32895921E+00   -3.31789711E-03    1.38041436E-12    3.08000000E+02
      46    1.38145564E-05    1.63436633E-03    1.63303132E-03    1.32895921E+00   -3.31789711E-03    1.38041436E-12    3.08000000E+02
      47    1.38145564E-05    1.63436633E-03    1.63303132E-03    1.32895921E+00   -3.31789711E-03    1.38041436E-12    3.08000000E+02
      48    1.38145564E-05    1.63436633E-03    1.63303132E-03    1.32895921E+00   -3.31789711E-03    1.38041436E-12    3.08000000E+02
      49    1.48237440E-05    1.73843732E-03    1.73688858E-03    1.54240599E+00   -3.51240698E-03    1.70558101E-12    3.08000000E+02
      50    1.48237440E-05    1.73843732E-03    1.73688858E-03    1.54240599E+00   -3.51240698E-03    1.70558101E-12    3.08000000E+02
      51    1.48237440E-05    1.73843732E-03    1.73688858E-03    1.54240599E+00   -3.51240698E-03    1.70558101E-12    3.08000000E+02
      52    1.48237440E-05    1.73843732E-03    1.73688858E-03    1.54240599E+00   -3.51240698E-03    1.70558101E-12    3.08000000E+02
      53    1.58319300E-05    1.83223491E-03    1.83048308E-03    1.74528060E+00   -3.68696457E-03    2.07778314E-12    3.08000000E+02
      54    1.58319300E-05    1.83223491E-03    1.83048308E-03    1.74528060E+00   -3.68696457E-03    2.07778314E-12    3.08000000E+02
      55    1.58319300E-05    1.83223491E-03    1.83048308E-03    1.74528060E+00   -3.68696457E-03    2.07778314E-12    3.08000000E+02
      56    1.58319300E-05    1.83223491E-03    1.83048308E-03    1.74528060E+00   -3.68696457E-03    2.07778314E-12    3.08000000E+02
      57    1.68392786E-05    1.91672991E-03    1.91478697E-03    1.93623129E+00   -3.84378450E-03    2.50016735E-12    3.08000000E+02
      58    1.68392786E-05    1.91672991E-03    1.91478697E-03    1.93623129E+00   -3.84378450E-03    2.50016735E-12    3.08000000E+02
      59    1.68392786E-05    1.91672991E-03    1.91478697E-03    1.93623129E+00   -3.84378450E-03    2.50016735E-12    3.08000000E+02
      60    1.78459185E-05    1.99288202E-03    1.99076042E-03    2.11477484E+00   -3.98490069E-03    2.97587956E-12    3.08000000E+02
      61    1.78459185E-05    1.99288202E-03    1.99076042E-03    2.11477484E+00   -3.98490069E-03    2.97587956E-12    3.08000000E+02
      62    1.78459185E-05    1.99288202E-03    1.99076042E-03    2.11477484E+00   -3.98490069E-03    2.97587956E-12    3.08000000E+02
      63    1.88519505E-05    2.06159465E-03    2.05930675E-03    2.28098562E+00   -4.11213988E-03    3.50806400E-12    3.08000000E+02
      64    1.88519505E-05    2.06159465E-03    2.05930675E-03    2.28098562E+00   -4.11213988E-03    3.50806400E-12    3.08000000E+02
      65    1.88519505E-05    2.06159465E-03    2.05930675E-03    2.28098562E+00   -4.11213988E-03    3.50806400E-12    3.08000000E+02
      66    1.98574612E-05    2.12369477E-03    2.12125252E-03    2.43528166E+00   -4.22712205E-03    4.09986732E-12    3.08000000E+02
      67    1.98574612E-05    2.12369477E-03    2.12125252E-03    2.43528166E+00   -4.22712205E-03    4.09986732E-12    3.08000000E+02
      68    1.98574612E-05    2.12369477E-03    2.12125252E-03    2.43528166E+00   -4.22712205E-03    4.09986732E-12    3.08000000E+02
      69    2.08625166E-05    2.17992555E-03    2.17734027E-03    2.57827732E+00   -4.33127140E-03    4.75443288E-12    3.08000000E+02
      70    2.08625166E-05    2.17992555E-03    2.17734027E-03    2.57827732E+00   -4.33127140E-03    4.75443288E-12    3.08000000E+02
      71    2.18671730E-05    2.23094804E-03    2.22823031E-03    2.71068817E+00   -4.42583515E-03    5.47490462E-12    3.08000000E+02
      72    2.18671730E-05    2.23094804E-03    2.22823031E-03    2.71068817E+00   -4.42583515E-03    5.47490462E-12    3.08000000E+02
      73    2.28714775E-05    2.27734613E-03    2.27450581E-03    2.83326816E+00   -4.51190278E-03    6.26442621E-12    3.08000000E+02
      74    2.28714775E-05    2.27734613E-03    2.27450581E-03    2.83326816E+00   -4.51190278E-03    6.26442621E-12    3.08000000E+02
      75    2.38754699E-05    2.31963354E-03    2.31667972E-03    2.94677019E+00   -4.59042524E-03    7.12614110E-12    3.08000000E+02
      76    2.38754699E-05    2.31963354E-03    2.31667972E-03    2.94677019E+00   -4.59042524E-03    7.12614110E-12    3.08000000E+02
      77    2.48791822E-05    2.35826121E-03    2.35520225E-03    3.05192184E+00   -4.66223252E-03    8.06319077E-12    3.08000000E+02
      78    2.48791822E-05    2.35826121E-03    2.35520225E-03    3.05192184E+00   -4.66223252E-03    8.06319077E-12    3.08000000E+02
      79    2.58826470E-05    2.39362491E-03    2.39046846E-03    3.14941239E+00   -4.72805019E-03    9.07872172E-12    3.08000000E+02
      80    2.58826470E-05    2.39362491E-03    2.39046846E-03    3.14941239E+00   -4.72805019E-03    9.07872172E-12    3.08000000E+02
      81    2.60721361E-05    2.39996645E-03    2.39679240E-03    3.16701789E+00   -4.73986146E-03    9.27958342E-12    3.08000000E+02
      82    2.68858877E-05    2.42607161E-03    2.42282471E-03    3.23988458E+00   -4.78851265E-03    1.01758753E-11    3.08000000E+02
      83    2.78889259E-05    2.45590600E-03    2.45257507E-03    3.32393267E+00   -4.84417602E-03    1.13577943E-11    3.08000000E+02
      84    2.88917806E-05    2.48339589E-03    2.47998681E-03    3.40210224E+00   -4.89552858E-03    1.26276216E-11    3.08000000E+02
      85    2.98944666E-05    2.50877698E-03    2.50529513E-03    3.47489171E+00   -4.94299987E-03    1.39884973E-11    3.08000000E+02
      86    3.08970023E-05    2.53225724E-03    2.52870755E-03    3.54275548E+00   -4.98696890E-03    1.54435689E-11    3.08000000E+02
      87    3.18993986E-05    2.55402028E-03    2.55040727E-03    3.60610620E+00   -5.02777038E-03    1.69959765E-11    3.08000000E+02
      88    3.29016672E-05    2.57422871E-03    2.57055651E-03    3.66531860E+00   -5.06570084E-03    1.86488627E-11    3.08000000E+02
      89    3.39038183E-05    2.59302676E-03    2.58929917E-03    3.72073264E+00   -5.10102353E-03    2.04053699E-11    3.08000000E+02
      90    3.49058611E-05    2.61054264E-03    2.60676315E-03    3.77265664E+00   -5.13397266E-03    2.22686404E-11    3.08000000E+02
      91    3.59078038E-05    2.62689059E-03    2.62306241E-03    3.82137028E+00   -5.16475707E-03    2.42418168E-11    3.08000000E+02
      92    3.69096537E-05    2.64217257E-03    2.63829866E-03    3.86712736E+00   -5.19356340E-03    2.63280411E-11    3.08000000E+02
      93    3.79114141E-05    2.65647976E-03    2.65256284E-03    3.91015818E+00   -5.22055868E-03    2.85304476E-11    3.08000000E+02
      94    3.89130980E-05    2.66989402E-03    2.66593660E-03    3.95067246E+00   -5.24589311E-03    3.08521944E-11    3.08000000E+02
      95    3.99147075E-05    2.68248875E-03    2.67849317E-03    3.98886051E+00   -5.26970147E-03    3.32964160E-11    3.08000000E+02
      96    4.09162476E-05    2.69433005E-03    2.69029846E-03    4.02489572E+00   -5.29210530E-03    3.58662546E-11    3.08000000E+02
      97    6.82239394E-05    2.86164379E-03    2.85708972E-03    4.54776095E+00   -5.61101701E-03    1.66268130E-10    3.08000000E+02
      98    7.84607243E-05    2.88866039E-03    2.88401954E-03    4.63461598E+00   -5.66299621E-03    2.52903928E-10    3.08000000E+02
      99    8.97355805E-05    2.90957462E-03    2.90486613E-03    4.70232592E+00   -5.70334562E-03    3.78349065E-10    3.08000000E+02
     100    9.87362858E-05    2.92198479E-03    2.91723596E-03    4.74270118E+00   -5.72733718E-03    5.03998208E-10    3.08000000E+02
