 % Time.............:    9.3999999762672815E-004
 % Distribution.....:            0
 % Fluid flag.......:            0
 % Vaporization flag:            1
 % Temperature flag.:   -1.32555305E+24
 %    ID      Diameter         X position        Y position        X velocity       Y velocity           Mass            Temperature
       1    1.72961998E-06    1.20779052E-04    1.20778963E-04    2.46155400E-26   -8.86510496E-05    2.70926019E-15    3.08000000E+02
       2    2.50557770E-06    1.63905354E-04    1.63905168E-04    7.68837685E-16   -1.86025738E-04    8.23611231E-15    3.08000000E+02
       3    3.14942928E-06    2.11203388E-04    2.11203094E-04    3.87727781E-11   -2.93895949E-04    1.63566445E-14    3.08000000E+02
       4    3.14942928E-06    2.11203388E-04    2.11203094E-04    3.87727781E-11   -2.93895949E-04    1.63566445E-14    3.08000000E+02
       5    4.33784107E-06    3.25127674E-04    3.25127114E-04    1.53727252E-06   -5.57451823E-04    4.27385264E-14    3.08000000E+02
       6    4.33784107E-06    3.25127674E-04    3.25127114E-04    1.53727252E-06   -5.57451823E-04    4.27385264E-14    3.08000000E+02
       7    4.33784107E-06    3.25127674E-04    3.25127114E-04    1.53727252E-06   -5.57451823E-04    4.27385264E-14    3.08000000E+02
       8    5.44830487E-06    4.61795589E-04    4.61794494E-04    2.14050416E-04   -8.78887242E-04    8.46803878E-14    3.08000000E+02
       9    5.44830487E-06    4.61795589E-04    4.61794494E-04    2.14050416E-04   -8.78887242E-04    8.46803878E-14    3.08000000E+02
      10    5.44830487E-06    4.61795589E-04    4.61794494E-04    2.14050416E-04   -8.78887242E-04    8.46803878E-14    3.08000000E+02
      11    5.44830487E-06    4.61795589E-04    4.61794494E-04    2.14050416E-04   -8.78887242E-04    8.46803878E-14    3.08000000E+02
      12    6.52082106E-06    6.20194331E-04    6.20189698E-04    3.35231587E-03   -1.25342305E-03    1.45179562E-13    3.08000000E+02
      13    6.52082106E-06    6.20194331E-04    6.20189698E-04    3.35231587E-03   -1.25342305E-03    1.45179562E-13    3.08000000E+02
      14    6.52082106E-06    6.20194331E-04    6.20189698E-04    3.35231587E-03   -1.25342305E-03    1.45179562E-13    3.08000000E+02
      15    6.52082106E-06    6.20194331E-04    6.20189698E-04    3.35231587E-03   -1.25342305E-03    1.45179562E-13    3.08000000E+02
      16    6.52082106E-06    6.20194331E-04    6.20189698E-04    3.35231587E-03   -1.25342305E-03    1.45179562E-13    3.08000000E+02
      17    7.57220252E-06    7.97858289E-04    7.97838081E-04    1.84307039E-02   -1.66734543E-03    2.27334473E-13    3.08000000E+02
      18    7.57220252E-06    7.97858289E-04    7.97838081E-04    1.84307039E-02   -1.66734543E-03    2.27334473E-13    3.08000000E+02
      19    7.57220252E-06    7.97858289E-04    7.97838081E-04    1.84307039E-02   -1.66734543E-03    2.27334473E-13    3.08000000E+02
      20    7.57220252E-06    7.97858289E-04    7.97838081E-04    1.84307039E-02   -1.66734543E-03    2.27334473E-13    3.08000000E+02
      21    7.57220252E-06    7.97858289E-04    7.97838081E-04    1.84307039E-02   -1.66734543E-03    2.27334473E-13    3.08000000E+02
      22    8.61082802E-06    9.89938761E-04    9.89879006E-04    5.73878498E-02   -2.10143701E-03    3.34297694E-13    3.08000000E+02
      23    8.61082802E-06    9.89938761E-04    9.89879006E-04    5.73878498E-02   -2.10143701E-03    3.34297694E-13    3.08000000E+02
      24    8.61082802E-06    9.89938761E-04    9.89879006E-04    5.73878498E-02   -2.10143701E-03    3.34297694E-13    3.08000000E+02
      25    8.61082802E-06    9.89938761E-04    9.89879006E-04    5.73878498E-02   -2.10143701E-03    3.34297694E-13    3.08000000E+02
      26    8.61082802E-06    9.89938761E-04    9.89879006E-04    5.73878498E-02   -2.10143701E-03    3.34297694E-13    3.08000000E+02
      27    9.64120772E-06    1.19000685E-03    1.18987620E-03    1.27632023E-01   -2.53725066E-03    4.69237761E-13    3.08000000E+02
      28    9.64120772E-06    1.19000685E-03    1.18987620E-03    1.27632023E-01   -2.53725066E-03    4.69237761E-13    3.08000000E+02
      29    9.64120772E-06    1.19000685E-03    1.18987620E-03    1.27632023E-01   -2.53725066E-03    4.69237761E-13    3.08000000E+02
      30    9.64120772E-06    1.19000685E-03    1.18987620E-03    1.27632023E-01   -2.53725066E-03    4.69237761E-13    3.08000000E+02
      31    9.64120772E-06    1.19000685E-03    1.18987620E-03    1.27632023E-01   -2.53725066E-03    4.69237761E-13    3.08000000E+02
      32    1.06659546E-05    1.39166898E-03    1.39143577E-03    2.29539320E-01   -2.96110114E-03    6.35327744E-13    3.08000000E+02
      33    1.06659546E-05    1.39166898E-03    1.39143577E-03    2.29539320E-01   -2.96110114E-03    6.35327744E-13    3.08000000E+02
      34    1.06659546E-05    1.39166898E-03    1.39143577E-03    2.29539320E-01   -2.96110114E-03    6.35327744E-13    3.08000000E+02
      35    1.06659546E-05    1.39166898E-03    1.39143577E-03    2.29539320E-01   -2.96110114E-03    6.35327744E-13    3.08000000E+02
