 % Time.............:    5.6999999856088834E-004
 % Distribution.....:            0
 % Fluid flag.......:            0
 % Vaporization flag:            1
  %     ID      Diameter         X position        Y position         X velocity       Y velocity
       1    2.30863493E-06    1.20779052E-04    1.20778894E-04    2.30198498E-12   -1.57933746E-04
       2    3.50127823E-06    2.11203257E-04    2.11202889E-04    3.67994155E-06   -3.63213729E-04
       3    3.50127823E-06    2.11203257E-04    2.11202889E-04    3.67994155E-06   -3.63213729E-04
       4    4.59995175E-06    3.25076193E-04    3.25074716E-04    8.36723350E-04   -6.26025534E-04
       5    4.59995175E-06    3.25076193E-04    3.25074716E-04    8.36723350E-04   -6.26025534E-04
       6    4.59995175E-06    3.25076193E-04    3.25074716E-04    8.36723350E-04   -6.26025534E-04
       7    5.66010665E-06    4.60647423E-04    4.60633824E-04    1.25277583E-02   -9.37723005E-04
       8    5.66010665E-06    4.60647423E-04    4.60633824E-04    1.25277583E-02   -9.37723005E-04
       9    5.66010665E-06    4.60647423E-04    4.60633824E-04    1.25277583E-02   -9.37723005E-04
      10    5.66010665E-06    4.60647423E-04    4.60633824E-04    1.25277583E-02   -9.37723005E-04
      11    6.70099951E-06    6.12862090E-04    6.12800702E-04    5.96540738E-02   -1.27748771E-03
      12    6.70099951E-06    6.12862090E-04    6.12800702E-04    5.96540738E-02   -1.27748771E-03
      13    6.70099951E-06    6.12862090E-04    6.12800702E-04    5.96540738E-02   -1.27748771E-03
      14    6.70099951E-06    6.12862090E-04    6.12800702E-04    5.96540738E-02   -1.27748771E-03
      15    6.70099951E-06    6.12862090E-04    6.12800702E-04    5.96540738E-02   -1.27748771E-03
      16    7.73101105E-06    7.73407663E-04    7.73244568E-04    1.60540023E-01   -1.62147296E-03
      17    7.73101105E-06    7.73407663E-04    7.73244568E-04    1.60540023E-01   -1.62147296E-03
      18    7.73101105E-06    7.73407663E-04    7.73244568E-04    1.60540023E-01   -1.62147296E-03
      19    7.73101105E-06    7.73407663E-04    7.73244568E-04    1.60540023E-01   -1.62147296E-03
      20    7.73101105E-06    7.73407663E-04    7.73244568E-04    1.60540023E-01   -1.62147296E-03
      21    8.75428139E-06    9.33866795E-04    9.33548881E-04    3.14511218E-01   -1.95217802E-03
      22    8.75428139E-06    9.33866795E-04    9.33548881E-04    3.14511218E-01   -1.95217802E-03
      23    8.75428139E-06    9.33866795E-04    9.33548881E-04    3.14511218E-01   -1.95217802E-03
      24    8.75428139E-06    9.33866795E-04    9.33548881E-04    3.14511218E-01   -1.95217802E-03
      25    8.75428139E-06    9.33866795E-04    9.33548881E-04    3.14511218E-01   -1.95217802E-03
      26    9.77304978E-06    1.08798877E-03    1.08747588E-03    5.08709447E-01   -2.25996979E-03
      27    9.77304978E-06    1.08798877E-03    1.08747588E-03    5.08709447E-01   -2.25996979E-03
      28    9.77304978E-06    1.08798877E-03    1.08747588E-03    5.08709447E-01   -2.25996979E-03
      29    9.77304978E-06    1.08798877E-03    1.08747588E-03    5.08709447E-01   -2.25996979E-03
      30    9.77304978E-06    1.08798877E-03    1.08747588E-03    5.08709447E-01   -2.25996979E-03
      31    1.07886303E-05    1.23207088E-03    1.23133854E-03    7.27493993E-01   -2.54095646E-03
      32    1.07886303E-05    1.23207088E-03    1.23133854E-03    7.27493993E-01   -2.54095646E-03
      33    1.07886303E-05    1.23207088E-03    1.23133854E-03    7.27493993E-01   -2.54095646E-03
      34    1.07886303E-05    1.23207088E-03    1.23133854E-03    7.27493993E-01   -2.54095646E-03
      35    1.07886303E-05    1.23207088E-03    1.23133854E-03    7.27493993E-01   -2.54095646E-03
      36    1.17611751E-05    1.35933563E-03    1.35838221E-03    9.48056548E-01   -2.78497331E-03
      37    1.18018448E-05    1.36441888E-03    1.36345612E-03    9.57368850E-01   -2.79465255E-03
      38    1.18018448E-05    1.36441888E-03    1.36345612E-03    9.57368850E-01   -2.79465255E-03
      39    1.18018448E-05    1.36441888E-03    1.36345612E-03    9.57368850E-01   -2.79465255E-03
      40    1.18018448E-05    1.36441888E-03    1.36345612E-03    9.57368850E-01   -2.79465255E-03
      41    1.28132385E-05    1.48466062E-03    1.48346643E-03    1.18836580E+00   -3.02235426E-03
      42    1.28132385E-05    1.48466062E-03    1.48346643E-03    1.18836580E+00   -3.02235426E-03
      43    1.28132385E-05    1.48466062E-03    1.48346643E-03    1.18836580E+00   -3.02235426E-03
      44    1.28132385E-05    1.48466062E-03    1.48346643E-03    1.18836580E+00   -3.02235426E-03
      45    1.38231935E-05    1.59319655E-03    1.59177659E-03    1.41380856E+00   -3.22616778E-03
      46    1.38231935E-05    1.59319655E-03    1.59177659E-03    1.41380856E+00   -3.22616778E-03
      47    1.38231935E-05    1.59319655E-03    1.59177659E-03    1.41380856E+00   -3.22616778E-03
      48    1.38231935E-05    1.59319655E-03    1.59177659E-03    1.41380856E+00   -3.22616778E-03
      49    1.48319831E-05    1.69082689E-03    1.68919090E-03    1.62958871E+00   -3.40846854E-03
      50    1.48319831E-05    1.69082689E-03    1.68919090E-03    1.62958871E+00   -3.40846854E-03
      51    1.48319831E-05    1.69082689E-03    1.68919090E-03    1.62958871E+00   -3.40846854E-03
      52    1.48319831E-05    1.69082689E-03    1.68919090E-03    1.62958871E+00   -3.40846854E-03
      53    1.58398143E-05    1.77852208E-03    1.77668206E-03    1.83343553E+00   -3.57162045E-03
      54    1.58398143E-05    1.77852208E-03    1.77668206E-03    1.83343553E+00   -3.57162045E-03
      55    1.58398143E-05    1.77852208E-03    1.77668206E-03    1.83343553E+00   -3.57162045E-03
      56    1.58398143E-05    1.77852208E-03    1.77668206E-03    1.83343553E+00   -3.57162045E-03
      57    1.68468435E-05    1.85728850E-03    1.85525746E-03    2.02432206E+00   -3.71783772E-03
      58    1.68468435E-05    1.85728850E-03    1.85525746E-03    2.02432206E+00   -3.71783772E-03
      59    1.68468435E-05    1.85728850E-03    1.85525746E-03    2.02432206E+00   -3.71783772E-03
      60    1.78531940E-05    1.92809627E-03    1.92588741E-03    2.20202985E+00   -3.84912824E-03
      61    1.78531940E-05    1.92809627E-03    1.92588741E-03    2.20202985E+00   -3.84912824E-03
      62    1.78531940E-05    1.92809627E-03    1.92588741E-03    2.20202985E+00   -3.84912824E-03
      63    1.82235324E-05    1.95234108E-03    1.95007005E-03    2.26417984E+00   -3.89406586E-03
      64    1.88589619E-05    1.99184331E-03    1.98946958E-03    2.36684330E+00   -3.96727838E-03
      65    1.88589619E-05    1.99184331E-03    1.98946958E-03    2.36684330E+00   -3.96727838E-03
      66    1.88589619E-05    1.99184331E-03    1.98946958E-03    2.36684330E+00   -3.96727838E-03
      67    1.98642304E-05    2.04934154E-03    2.04681527E-03    2.51934409E+00   -4.07386057E-03
      68    1.98642304E-05    2.04934154E-03    2.04681527E-03    2.51934409E+00   -4.07386057E-03
      69    1.98642304E-05    2.04934154E-03    2.04681527E-03    2.51934409E+00   -4.07386057E-03
      70    2.08690626E-05    2.10131374E-03    2.09864652E-03    2.66027249E+00   -4.17024881E-03
      71    2.08690626E-05    2.10131374E-03    2.09864652E-03    2.66027249E+00   -4.17024881E-03
      72    2.18735125E-05    2.14839798E-03    2.14560059E-03    2.79043999E+00   -4.25764022E-03
      73    2.18735125E-05    2.14839798E-03    2.14560059E-03    2.79043999E+00   -4.25764022E-03
      74    2.28776252E-05    2.19115444E-03    2.18823681E-03    2.91067301E+00   -4.33707600E-03
      75    2.28776252E-05    2.19115444E-03    2.18823681E-03    2.91067301E+00   -4.33707600E-03
      76    2.38814390E-05    2.23007338E-03    2.22704466E-03    3.02177867E+00   -4.40946144E-03
      77    2.38814390E-05    2.23007338E-03    2.22704466E-03    3.02177867E+00   -4.40946144E-03
      78    2.48849844E-05    2.26558329E-03    2.26245185E-03    3.12452478E+00   -4.47558410E-03
      79    2.48849844E-05    2.26558329E-03    2.26245185E-03    3.12452478E+00   -4.47558410E-03
      80    2.58882930E-05    2.29805880E-03    2.29483227E-03    3.21963006E+00   -4.53613035E-03
      81    2.58882930E-05    2.29805880E-03    2.29483227E-03    3.21963006E+00   -4.53613035E-03
      82    2.68913869E-05    2.32782726E-03    2.32451263E-03    3.30775849E+00   -4.59169877E-03
      83    2.78942870E-05    2.35517531E-03    2.35177894E-03    3.38951932E+00   -4.64281276E-03
      84    2.88970116E-05    2.38035421E-03    2.37688192E-03    3.46546834E+00   -4.68993091E-03
      85    2.98995746E-05    2.40358460E-03    2.40004170E-03    3.53611060E+00   -4.73345584E-03
      86    3.09019939E-05    2.42506077E-03    2.42145211E-03    3.60190443E+00   -4.77374213E-03
      87    3.19042799E-05    2.44495392E-03    2.44128393E-03    3.66326438E+00   -4.81110240E-03
      88    3.29064438E-05    2.46341539E-03    2.45968812E-03    3.72056561E+00   -4.84581319E-03
      89    3.39084953E-05    2.48057922E-03    2.47679841E-03    3.77414736E+00   -4.87811965E-03
      90    3.49104433E-05    2.49656441E-03    2.49273346E-03    3.82431648E+00   -4.90823959E-03
      91    3.59122956E-05    2.51147683E-03    2.50759887E-03    3.87135060E+00   -4.93636700E-03
      92    3.62176545E-05    2.51582368E-03    2.51193197E-03    3.88510280E+00   -4.94457130E-03
      93    3.69140593E-05    2.52541085E-03    2.52148877E-03    3.91550111E+00   -4.96267503E-03
      94    3.79157372E-05    2.53845079E-03    2.53448724E-03    3.95699561E+00   -4.98731849E-03
      95    3.89173424E-05    2.55067227E-03    2.54666970E-03    3.99604102E+00   -5.01043644E-03
      96    3.99188764E-05    2.56214302E-03    2.55810369E-03    4.03282473E+00   -5.03215355E-03
