 % Time.............:    3.7999999904059223E-004
 % Distribution.....:            0
 % Fluid flag.......:            0
 % Vaporization flag:            1
  %     ID      Diameter         X position        Y position         X velocity       Y velocity
       1    2.55552330E-06    1.20779049E-04    1.20778855E-04    1.60201483E-07   -1.93515136E-04
       2    3.66891880E-06    2.11180901E-04    2.11179914E-04    5.73381460E-04   -3.98475249E-04
       3    3.66891880E-06    2.11180901E-04    2.11179914E-04    5.73381460E-04   -3.98475249E-04
       4    4.72962053E-06    3.24067215E-04    3.24050000E-04    1.63102690E-02   -6.53925289E-04
       5    4.72962053E-06    3.24067215E-04    3.24050000E-04    1.63102690E-02   -6.53925289E-04
       6    4.72962053E-06    3.24067215E-04    3.24050000E-04    1.63102690E-02   -6.53925289E-04
       7    5.76793243E-06    4.53039188E-04    4.52945974E-04    9.13301212E-02   -9.35913384E-04
       8    5.76793243E-06    4.53039188E-04    4.52945974E-04    9.13301212E-02   -9.35913384E-04
       9    5.76793243E-06    4.53039188E-04    4.52945974E-04    9.13301212E-02   -9.35913384E-04
      10    5.76793243E-06    4.53039188E-04    4.52945974E-04    9.13301212E-02   -9.35913384E-04
      11    6.79481082E-06    5.87390419E-04    5.87135469E-04    2.51821922E-01   -1.21677039E-03
      12    6.79481082E-06    5.87390419E-04    5.87135469E-04    2.51821922E-01   -1.21677039E-03
      13    6.79481082E-06    5.87390419E-04    5.87135469E-04    2.51821922E-01   -1.21677039E-03
      14    6.79481082E-06    5.87390419E-04    5.87135469E-04    2.51821922E-01   -1.21677039E-03
      15    6.79481082E-06    5.87390419E-04    5.87135469E-04    2.51821922E-01   -1.21677039E-03
      16    7.81504187E-06    7.17576400E-04    7.17087880E-04    4.84206093E-01   -1.47873162E-03
      17    7.81504187E-06    7.17576400E-04    7.17087880E-04    4.84206093E-01   -1.47873162E-03
      18    7.81504187E-06    7.17576400E-04    7.17087880E-04    4.84206093E-01   -1.47873162E-03
      19    7.81504187E-06    7.17576400E-04    7.17087880E-04    4.84206093E-01   -1.47873162E-03
      20    7.81504187E-06    7.17576400E-04    7.17087880E-04    4.84206093E-01   -1.47873162E-03
      21    8.83100924E-06    8.37900295E-04    8.37135910E-04    7.59105925E-01   -1.71424057E-03
      22    8.83100924E-06    8.37900295E-04    8.37135910E-04    7.59105925E-01   -1.71424057E-03
      23    8.83100924E-06    8.37900295E-04    8.37135910E-04    7.59105925E-01   -1.71424057E-03
      24    8.83100924E-06    8.37900295E-04    8.37135910E-04    7.59105925E-01   -1.71424057E-03
      25    8.83100924E-06    8.37900295E-04    8.37135910E-04    7.59105925E-01   -1.71424057E-03
      26    9.73651316E-06    9.35124525E-04    9.34099581E-04    1.01901608E+00   -1.90114210E-03
      27    9.84403419E-06    9.46011382E-04    9.44955309E-04    1.05008079E+00   -1.92192064E-03
      28    9.84403419E-06    9.46011382E-04    9.44955309E-04    1.05008079E+00   -1.92192064E-03
      29    9.84403419E-06    9.46011382E-04    9.44955309E-04    1.05008079E+00   -1.92192064E-03
      30    9.84403419E-06    9.46011382E-04    9.44955309E-04    1.05008079E+00   -1.92192064E-03
      31    9.84403419E-06    9.46011382E-04    9.44955309E-04    1.05008079E+00   -1.92192064E-03
      32    1.08549198E-05    1.04162474E-03    1.04027934E-03    1.33892060E+00   -2.10336933E-03
      33    1.08549198E-05    1.04162474E-03    1.04027934E-03    1.33892060E+00   -2.10336933E-03
      34    1.08549198E-05    1.04162474E-03    1.04027934E-03    1.33892060E+00   -2.10336933E-03
      35    1.08549198E-05    1.04162474E-03    1.04027934E-03    1.33892060E+00   -2.10336933E-03
      36    1.08549198E-05    1.04162474E-03    1.04027934E-03    1.33892060E+00   -2.10336933E-03
      37    1.18641853E-05    1.12550543E-03    1.12388379E-03    1.61485299E+00   -2.26133908E-03
      38    1.18641853E-05    1.12550543E-03    1.12388379E-03    1.61485299E+00   -2.26133908E-03
      39    1.18641853E-05    1.12550543E-03    1.12388379E-03    1.61485299E+00   -2.26133908E-03
      40    1.18641853E-05    1.12550543E-03    1.12388379E-03    1.61485299E+00   -2.26133908E-03
      41    1.28721858E-05    1.19885129E-03    1.19697195E-03    1.87236887E+00   -2.39883698E-03
      42    1.28721858E-05    1.19885129E-03    1.19697195E-03    1.87236887E+00   -2.39883698E-03
      43    1.28721858E-05    1.19885129E-03    1.19697195E-03    1.87236887E+00   -2.39883698E-03
      44    1.28721858E-05    1.19885129E-03    1.19697195E-03    1.87236887E+00   -2.39883698E-03
      45    1.33213854E-05    1.22850745E-03    1.22651981E-03    1.98061943E+00   -2.45431768E-03
      46    1.38791775E-05    1.26296280E-03    1.26084646E-03    2.10929163E+00   -2.51872068E-03
