 % Time.............:    7.7999999803068931E-004
 % Distribution.....:            0
 % Fluid flag.......:            0
 % Vaporization flag:            1
 % Temperature flag.:   -1.32555305E+24
 %    ID      Diameter         X position        Y position        X velocity       Y velocity           Mass            Temperature
       1    2.00066318E-06    1.20779052E-04    1.20778933E-04    3.02135544E-19   -1.18610317E-04    4.19295857E-15    3.08000000E+02
       2    2.69987145E-06    1.63905354E-04    1.63905138E-04    2.70271336E-12   -2.15991105E-04    1.03045230E-14    3.08000000E+02
       3    3.30616616E-06    2.11203388E-04    2.11203064E-04    7.46878438E-09   -3.23870618E-04    1.89222451E-14    3.08000000E+02
       4    3.30616616E-06    2.11203388E-04    2.11203064E-04    7.46878438E-09   -3.23870618E-04    1.89222451E-14    3.08000000E+02
       5    4.45306058E-06    3.25126274E-04    3.25125661E-04    2.56856336E-05   -5.87421440E-04    4.62353815E-14    3.08000000E+02
       6    4.45306058E-06    3.25126274E-04    3.25125661E-04    2.56856336E-05   -5.87421440E-04    4.62353815E-14    3.08000000E+02
       7    4.45306058E-06    3.25126274E-04    3.25125661E-04    2.56856336E-05   -5.87421440E-04    4.62353815E-14    3.08000000E+02
       8    5.54062674E-06    4.61698701E-04    4.61696488E-04    1.29100326E-03   -9.07472138E-04    8.90584873E-14    3.08000000E+02
       9    5.54062674E-06    4.61698701E-04    4.61696488E-04    1.29100326E-03   -9.07472138E-04    8.90584873E-14    3.08000000E+02
      10    5.54062674E-06    4.61698701E-04    4.61696488E-04    1.29100326E-03   -9.07472138E-04    8.90584873E-14    3.08000000E+02
      11    5.54062674E-06    4.61698701E-04    4.61696488E-04    1.29100326E-03   -9.07472138E-04    8.90584873E-14    3.08000000E+02
      12    6.59875655E-06    6.19111952E-04    6.19098754E-04    1.18311144E-02   -1.27386832E-03    1.50447492E-13    3.08000000E+02
      13    6.59875655E-06    6.19111952E-04    6.19098754E-04    1.18311144E-02   -1.27386832E-03    1.50447492E-13    3.08000000E+02
      14    6.59875655E-06    6.19111952E-04    6.19098754E-04    1.18311144E-02   -1.27386832E-03    1.50447492E-13    3.08000000E+02
      15    6.59875655E-06    6.19111952E-04    6.19098754E-04    1.18311144E-02   -1.27386832E-03    1.50447492E-13    3.08000000E+02
      16    6.59875655E-06    6.19111952E-04    6.19098754E-04    1.18311144E-02   -1.27386832E-03    1.50447492E-13    3.08000000E+02
      17    7.64048790E-06    7.92938990E-04    7.92889760E-04    4.72850725E-02   -1.66750338E-03    2.33540342E-13    3.08000000E+02
      18    7.64048790E-06    7.92938990E-04    7.92889760E-04    4.72850725E-02   -1.66750338E-03    2.33540342E-13    3.08000000E+02
      19    7.64048790E-06    7.92938990E-04    7.92889760E-04    4.72850725E-02   -1.66750338E-03    2.33540342E-13    3.08000000E+02
      20    7.64048790E-06    7.92938990E-04    7.92889760E-04    4.72850725E-02   -1.66750338E-03    2.33540342E-13    3.08000000E+02
      21    7.64048790E-06    7.92938990E-04    7.92889760E-04    4.72850725E-02   -1.66750338E-03    2.33540342E-13    3.08000000E+02
      22    8.67223832E-06    9.76330671E-04    9.76208181E-04    1.19870723E-01   -2.06744323E-03    3.41501210E-13    3.08000000E+02
      23    8.67223832E-06    9.76330671E-04    9.76208181E-04    1.19870723E-01   -2.06744323E-03    3.41501210E-13    3.08000000E+02
      24    8.67223832E-06    9.76330671E-04    9.76208181E-04    1.19870723E-01   -2.06744323E-03    3.41501210E-13    3.08000000E+02
      25    8.67223832E-06    9.76330671E-04    9.76208181E-04    1.19870723E-01   -2.06744323E-03    3.41501210E-13    3.08000000E+02
      26    8.67223832E-06    9.76330671E-04    9.76208181E-04    1.19870723E-01   -2.06744323E-03    3.41501210E-13    3.08000000E+02
      27    9.69747483E-06    1.16203556E-03    1.16180059E-03    2.31651215E-01   -2.45744946E-03    4.77501366E-13    3.08000000E+02
      28    9.69747483E-06    1.16203556E-03    1.16180059E-03    2.31651215E-01   -2.45744946E-03    4.77501366E-13    3.08000000E+02
      29    9.69747483E-06    1.16203556E-03    1.16180059E-03    2.31651215E-01   -2.45744946E-03    4.77501366E-13    3.08000000E+02
      30    9.69747483E-06    1.16203556E-03    1.16180059E-03    2.31651215E-01   -2.45744946E-03    4.77501366E-13    3.08000000E+02
      31    9.69747483E-06    1.16203556E-03    1.16180059E-03    2.31651215E-01   -2.45744946E-03    4.77501366E-13    3.08000000E+02
      32    1.07182067E-05    1.34407233E-03    1.34369157E-03    3.76763160E-01   -2.82745650E-03    6.44710903E-13    3.08000000E+02
      33    1.07182067E-05    1.34407233E-03    1.34369157E-03    3.76763160E-01   -2.82745650E-03    6.44710903E-13    3.08000000E+02
      34    1.07182067E-05    1.34407233E-03    1.34369157E-03    3.76763160E-01   -2.82745650E-03    6.44710903E-13    3.08000000E+02
      35    1.07182067E-05    1.34407233E-03    1.34369157E-03    3.76763160E-01   -2.82745650E-03    6.44710903E-13    3.08000000E+02
      36    1.07182067E-05    1.34407233E-03    1.34369157E-03    3.76763160E-01   -2.82745650E-03    6.44710903E-13    3.08000000E+02
      37    1.17356664E-05    1.51829735E-03    1.51774666E-03    5.46064721E-01   -3.17236356E-03    8.46295244E-13    3.08000000E+02
      38    1.17356664E-05    1.51829735E-03    1.51774666E-03    5.46064721E-01   -3.17236356E-03    8.46295244E-13    3.08000000E+02
      39    1.17356664E-05    1.51829735E-03    1.51774666E-03    5.46064721E-01   -3.17236356E-03    8.46295244E-13    3.08000000E+02
      40    1.17356664E-05    1.51829735E-03    1.51774666E-03    5.46064721E-01   -3.17236356E-03    8.46295244E-13    3.08000000E+02
      41    1.27506529E-05    1.68225488E-03    1.68151935E-03    7.30376764E-01   -3.49036849E-03    1.08541522E-12    3.08000000E+02
      42    1.27506529E-05    1.68225488E-03    1.68151935E-03    7.30376764E-01   -3.49036849E-03    1.08541522E-12    3.08000000E+02
      43    1.27506529E-05    1.68225488E-03    1.68151935E-03    7.30376764E-01   -3.49036849E-03    1.08541522E-12    3.08000000E+02
