 % Time.............:    3.9999999899009708E-004
 % Distribution.....:            0
 % Fluid flag.......:            0
 % Vaporization flag:            1
 % Temperature flag.:   -1.32555305E+24
 %    ID      Diameter         X position        Y position        X velocity       Y velocity           Mass            Temperature
       1    2.53066804E-06    1.20779051E-04    1.20778861E-04    5.49633162E-08   -1.89769603E-04    8.48602242E-15    3.08000000E+02
       2    3.11317176E-06    1.63904946E-04    1.63904643E-04    1.44671457E-05   -2.87161435E-04    1.57982099E-14    3.08000000E+02
       3    3.65162619E-06    2.11190004E-04    2.11189256E-04    3.44484939E-04   -3.94852593E-04    2.54951502E-14    3.08000000E+02
       4    3.65162619E-06    2.11190004E-04    2.11189256E-04    3.44484939E-04   -3.94852593E-04    2.54951502E-14    3.08000000E+02
       5    4.71604983E-06    3.24350494E-04    3.24337640E-04    1.20171219E-02   -6.51941004E-04    5.49204125E-14    3.08000000E+02
       6    4.71604983E-06    3.24350494E-04    3.24337640E-04    1.20171219E-02   -6.51941004E-04    5.49204125E-14    3.08000000E+02
       7    4.71604983E-06    3.24350494E-04    3.24337640E-04    1.20171219E-02   -6.51941004E-04    5.49204125E-14    3.08000000E+02
       8    5.75652616E-06    4.54697950E-04    4.54621965E-04    7.42731557E-02   -9.39072453E-04    9.98803562E-14    3.08000000E+02
       9    5.75652616E-06    4.54697950E-04    4.54621965E-04    7.42731557E-02   -9.39072453E-04    9.98803562E-14    3.08000000E+02
      10    5.75652616E-06    4.54697950E-04    4.54621965E-04    7.42731557E-02   -9.39072453E-04    9.98803562E-14    3.08000000E+02
      11    5.75652616E-06    4.54697950E-04    4.54621965E-04    7.42731557E-02   -9.39072453E-04    9.98803562E-14    3.08000000E+02
      12    6.78481320E-06    5.92082229E-04    5.91862877E-04    2.16481207E-01   -1.22857137E-03    1.63535604E-13    3.08000000E+02
      13    6.78481320E-06    5.92082229E-04    5.91862877E-04    2.16481207E-01   -1.22857137E-03    1.63535604E-13    3.08000000E+02
      14    6.78481320E-06    5.92082229E-04    5.91862877E-04    2.16481207E-01   -1.22857137E-03    1.63535604E-13    3.08000000E+02
      15    6.78481320E-06    5.92082229E-04    5.91862877E-04    2.16481207E-01   -1.22857137E-03    1.63535604E-13    3.08000000E+02
      16    6.78481320E-06    5.92082229E-04    5.91862877E-04    2.16481207E-01   -1.22857137E-03    1.63535604E-13    3.08000000E+02
      17    7.80604598E-06    7.26743315E-04    7.26308426E-04    4.30869153E-01   -1.50135603E-03    2.49053099E-13    3.08000000E+02
      18    7.80604598E-06    7.26743315E-04    7.26308426E-04    4.30869153E-01   -1.50135603E-03    2.49053099E-13    3.08000000E+02
      19    7.80604598E-06    7.26743315E-04    7.26308426E-04    4.30869153E-01   -1.50135603E-03    2.49053099E-13    3.08000000E+02
      20    7.80604598E-06    7.26743315E-04    7.26308426E-04    4.30869153E-01   -1.50135603E-03    2.49053099E-13    3.08000000E+02
      21    7.80604598E-06    7.26743315E-04    7.26308426E-04    4.30869153E-01   -1.50135603E-03    2.49053099E-13    3.08000000E+02
      22    8.82277515E-06    8.52427113E-04    8.51730855E-04    6.91272758E-01   -1.74857876E-03    3.59595516E-13    3.08000000E+02
      23    8.82277515E-06    8.52427113E-04    8.51730855E-04    6.91272758E-01   -1.74857876E-03    3.59595516E-13    3.08000000E+02
      24    8.82277515E-06    8.52427113E-04    8.51730855E-04    6.91272758E-01   -1.74857876E-03    3.59595516E-13    3.08000000E+02
      25    8.82277515E-06    8.52427113E-04    8.51730855E-04    6.91272758E-01   -1.74857876E-03    3.59595516E-13    3.08000000E+02
      26    8.82277515E-06    8.52427113E-04    8.51730855E-04    6.91272758E-01   -1.74857876E-03    3.59595516E-13    3.08000000E+02
      27    9.83640823E-06    9.66260813E-04    9.65283082E-04    9.72009162E-01   -1.96799099E-03    4.98319943E-13    3.08000000E+02
      28    9.83640823E-06    9.66260813E-04    9.65283082E-04    9.72009162E-01   -1.96799099E-03    4.98319943E-13    3.08000000E+02
      29    9.83640823E-06    9.66260813E-04    9.65283082E-04    9.72009162E-01   -1.96799099E-03    4.98319943E-13    3.08000000E+02
      30    9.83640823E-06    9.66260813E-04    9.65283082E-04    9.72009162E-01   -1.96799099E-03    4.98319943E-13    3.08000000E+02
      31    9.83640823E-06    9.66260813E-04    9.65283082E-04    9.72009162E-01   -1.96799099E-03    4.98319943E-13    3.08000000E+02
      32    1.08477965E-05    1.06759085E-03    1.06633017E-03    1.25444007E+00   -2.16069066E-03    6.68379662E-13    3.08000000E+02
      33    1.08477965E-05    1.06759085E-03    1.06633017E-03    1.25444007E+00   -2.16069066E-03    6.68379662E-13    3.08000000E+02
      34    1.08477965E-05    1.06759085E-03    1.06633017E-03    1.25444007E+00   -2.16069066E-03    6.68379662E-13    3.08000000E+02
      35    1.08477965E-05    1.06759085E-03    1.06633017E-03    1.25444007E+00   -2.16069066E-03    6.68379662E-13    3.08000000E+02
      36    1.08477965E-05    1.06759085E-03    1.06633017E-03    1.25444007E+00   -2.16069066E-03    6.68379662E-13    3.08000000E+02
      37    1.18574881E-05    1.15695910E-03    1.15542550E-03    1.52700220E+00   -2.32918022E-03    8.72924585E-13    3.08000000E+02
      38    1.18574881E-05    1.15695910E-03    1.15542550E-03    1.52700220E+00   -2.32918022E-03    8.72924585E-13    3.08000000E+02
      39    1.18574881E-05    1.15695910E-03    1.15542550E-03    1.52700220E+00   -2.32918022E-03    8.72924585E-13    3.08000000E+02
      40    1.18574881E-05    1.15695910E-03    1.15542550E-03    1.52700220E+00   -2.32918022E-03    8.72924585E-13    3.08000000E+02
      41    1.28658566E-05    1.23544560E-03    1.23365539E-03    1.78340086E+00   -2.47636748E-03    1.11510240E-12    3.08000000E+02
      42    1.28658566E-05    1.23544560E-03    1.23365539E-03    1.78340086E+00   -2.47636748E-03    1.11510240E-12    3.08000000E+02
      43    1.28658566E-05    1.23544560E-03    1.23365539E-03    1.78340086E+00   -2.47636748E-03    1.11510240E-12    3.08000000E+02
      44    1.28658566E-05    1.23544560E-03    1.23365539E-03    1.78340086E+00   -2.47636748E-03    1.11510240E-12    3.08000000E+02
      45    1.38731706E-05    1.30430102E-03    1.30227329E-03    2.02080355E+00   -2.60509673E-03    1.39806003E-12    3.08000000E+02
      46    1.38731706E-05    1.30430102E-03    1.30227329E-03    2.02080355E+00   -2.60509673E-03    1.39806003E-12    3.08000000E+02
      47    1.38731706E-05    1.30430102E-03    1.30227329E-03    2.02080355E+00   -2.60509673E-03    1.39806003E-12    3.08000000E+02
      48    1.38731706E-05    1.30430102E-03    1.30227329E-03    2.02080355E+00   -2.60509673E-03    1.39806003E-12    3.08000000E+02
      49    1.48796250E-05    1.36475956E-03    1.36251410E-03    2.23848758E+00   -2.71795238E-03    1.72494237E-12    3.08000000E+02
      50    1.48796250E-05    1.36475956E-03    1.36251410E-03    2.23848758E+00   -2.71795238E-03    1.72494237E-12    3.08000000E+02
      51    1.48796250E-05    1.36475956E-03    1.36251410E-03    2.23848758E+00   -2.71795238E-03    1.72494237E-12    3.08000000E+02
      52    1.48796250E-05    1.36475956E-03    1.36251410E-03    2.23848758E+00   -2.71795238E-03    1.72494237E-12    3.08000000E+02
      53    1.58853702E-05    1.41795516E-03    1.41551125E-03    2.43693906E+00   -2.81719888E-03    2.09889473E-12    3.08000000E+02
      54    1.58853702E-05    1.41795516E-03    1.41551125E-03    2.43693906E+00   -2.81719888E-03    2.09889473E-12    3.08000000E+02
      55    1.58853702E-05    1.41795516E-03    1.41551125E-03    2.43693906E+00   -2.81719888E-03    2.09889473E-12    3.08000000E+02
      56    1.58853702E-05    1.41795516E-03    1.41551125E-03    2.43693906E+00   -2.81719888E-03    2.09889473E-12    3.08000000E+02
      57    1.68905206E-05    1.46489089E-03    1.46226668E-03    2.61728189E+00   -2.90478137E-03    2.52306097E-12    3.08000000E+02
