 % Time.............:    6.2999999840940291E-004
 % Distribution.....:            0
 % Fluid flag.......:            0
 % Vaporization flag:            1
  %     ID      Diameter         X position        Y position         X velocity       Y velocity
       1    2.22499319E-06    1.20779052E-04    1.20778905E-04    3.93960125E-14   -1.46698154E-04
       2    3.44665601E-06    2.11203365E-04    2.11203012E-04    6.72904274E-07   -3.51973757E-04
       3    3.44665601E-06    2.11203365E-04    2.11203012E-04    6.72904274E-07   -3.51973757E-04
       4    4.55845030E-06    3.25108605E-04    3.25107668E-04    3.16450553E-04   -6.15243867E-04
       5    4.55845030E-06    3.25108605E-04    3.25107668E-04    3.16450553E-04   -6.15243867E-04
       6    4.55845030E-06    3.25108605E-04    3.25107668E-04    3.16450553E-04   -6.15243867E-04
       7    5.62609421E-06    4.61205869E-04    4.61198262E-04    6.60518478E-03   -9.30699295E-04
       8    5.62609421E-06    4.61205869E-04    4.61198262E-04    6.60518478E-03   -9.30699295E-04
       9    5.62609421E-06    4.61205869E-04    4.61198262E-04    6.60518478E-03   -9.30699295E-04
      10    5.62609421E-06    4.61205869E-04    4.61198262E-04    6.60518478E-03   -9.30699295E-04
      11    6.67172316E-06    6.15744586E-04    6.15705302E-04    3.77136126E-02   -1.28090326E-03
      12    6.67172316E-06    6.15744586E-04    6.15705302E-04    3.77136126E-02   -1.28090326E-03
      13    6.67172316E-06    6.15744586E-04    6.15705302E-04    3.77136126E-02   -1.28090326E-03
      14    6.67172316E-06    6.15744586E-04    6.15705302E-04    3.77136126E-02   -1.28090326E-03
      15    6.67172316E-06    6.15744586E-04    6.15705302E-04    3.77136126E-02   -1.28090326E-03
      16    7.70497597E-06    7.81565832E-04    7.81450195E-04    1.13334947E-01   -1.64259280E-03
      17    7.70497597E-06    7.81565832E-04    7.81450195E-04    1.13334947E-01   -1.64259280E-03
      18    7.70497597E-06    7.81565832E-04    7.81450195E-04    1.13334947E-01   -1.64259280E-03
      19    7.70497597E-06    7.81565832E-04    7.81450195E-04    1.13334947E-01   -1.64259280E-03
      20    7.70497597E-06    7.81565832E-04    7.81450195E-04    1.13334947E-01   -1.64259280E-03
      21    8.73061309E-06    9.50395160E-04    9.50153387E-04    2.38678238E-01   -1.99647014E-03
      22    8.73061309E-06    9.50395160E-04    9.50153387E-04    2.38678238E-01   -1.99647014E-03
      23    8.73061309E-06    9.50395160E-04    9.50153387E-04    2.38678238E-01   -1.99647014E-03
      24    8.73061309E-06    9.50395160E-04    9.50153387E-04    2.38678238E-01   -1.99647014E-03
      25    8.73061309E-06    9.50395160E-04    9.50153387E-04    2.38678238E-01   -1.99647014E-03
      26    9.75120502E-06    1.11536064E-03    1.11495087E-03    4.05916086E-01   -2.33062443E-03
      27    9.75120502E-06    1.11536064E-03    1.11495087E-03    4.05916086E-01   -2.33062443E-03
      28    9.75120502E-06    1.11536064E-03    1.11495087E-03    4.05916086E-01   -2.33062443E-03
      29    9.75120502E-06    1.11536064E-03    1.11495087E-03    4.05916086E-01   -2.33062443E-03
      30    9.75120502E-06    1.11536064E-03    1.11495087E-03    4.05916086E-01   -2.33062443E-03
      31    1.07682515E-05    1.27189690E-03    1.27129033E-03    6.02041629E-01   -2.63930890E-03
      32    1.07682515E-05    1.27189690E-03    1.27129033E-03    6.02041629E-01   -2.63930890E-03
      33    1.07682515E-05    1.27189690E-03    1.27129033E-03    6.02041629E-01   -2.63930890E-03
      34    1.07682515E-05    1.27189690E-03    1.27129033E-03    6.02041629E-01   -2.63930890E-03
      35    1.07682515E-05    1.27189690E-03    1.27129033E-03    6.02041629E-01   -2.63930890E-03
      36    1.17419687E-05    1.41189630E-03    1.41108557E-03    8.05641920E-01   -2.90997653E-03
      37    1.17826835E-05    1.41752047E-03    1.41670101E-03    8.14345525E-01   -2.92076063E-03
      38    1.17826835E-05    1.41752047E-03    1.41670101E-03    8.14345525E-01   -2.92076063E-03
      39    1.17826835E-05    1.41752047E-03    1.41670101E-03    8.14345525E-01   -2.92076063E-03
      40    1.17826835E-05    1.41752047E-03    1.41670101E-03    8.14345525E-01   -2.92076063E-03
      41    1.27951140E-05    1.55125217E-03    1.55021395E-03    1.03263358E+00   -3.17547352E-03
      42    1.27951140E-05    1.55125217E-03    1.55021395E-03    1.03263358E+00   -3.17547352E-03
      43    1.27951140E-05    1.55125217E-03    1.55021395E-03    1.03263358E+00   -3.17547352E-03
      44    1.27951140E-05    1.55125217E-03    1.55021395E-03    1.03263358E+00   -3.17547352E-03
      45    1.38059689E-05    1.67307087E-03    1.67181533E-03    1.24957301E+00   -3.40508751E-03
      46    1.38059689E-05    1.67307087E-03    1.67181533E-03    1.24957301E+00   -3.40508751E-03
      47    1.38059689E-05    1.67307087E-03    1.67181533E-03    1.24957301E+00   -3.40508751E-03
      48    1.38059689E-05    1.67307087E-03    1.67181533E-03    1.24957301E+00   -3.40508751E-03
      49    1.48155510E-05    1.78350657E-03    1.78204001E-03    1.46028830E+00   -3.61173467E-03
      50    1.48155510E-05    1.78350657E-03    1.78204001E-03    1.46028830E+00   -3.61173467E-03
      51    1.48155510E-05    1.78350657E-03    1.78204001E-03    1.46028830E+00   -3.61173467E-03
      52    1.48155510E-05    1.78350657E-03    1.78204001E-03    1.46028830E+00   -3.61173467E-03
      53    1.58240886E-05    1.88337132E-03    1.88170304E-03    1.66178156E+00   -3.79767846E-03
      54    1.58240886E-05    1.88337132E-03    1.88170304E-03    1.66178156E+00   -3.79767846E-03
      55    1.58240886E-05    1.88337132E-03    1.88170304E-03    1.66178156E+00   -3.79767846E-03
      56    1.58240886E-05    1.88337132E-03    1.88170304E-03    1.66178156E+00   -3.79767846E-03
      57    1.68317533E-05    1.97359092E-03    1.97173184E-03    1.85239689E+00   -3.96512158E-03
      58    1.68317533E-05    1.97359092E-03    1.97173184E-03    1.85239689E+00   -3.96512158E-03
      59    1.68317533E-05    1.97359092E-03    1.97173184E-03    1.85239689E+00   -3.96512158E-03
      60    1.78386798E-05    2.05510687E-03    2.05306864E-03    2.03139785E+00   -4.11611412E-03
      61    1.78386798E-05    2.05510687E-03    2.05306864E-03    2.03139785E+00   -4.11611412E-03
      62    1.78386798E-05    2.05510687E-03    2.05306864E-03    2.03139785E+00   -4.11611412E-03
      63    1.82092171E-05    2.08310649E-03    2.08100528E-03    2.09433258E+00   -4.16793518E-03
      64    1.88449732E-05    2.12882183E-03    2.12661624E-03    2.19865458E+00   -4.25251535E-03
      65    1.88449732E-05    2.12882183E-03    2.12661624E-03    2.19865458E+00   -4.25251535E-03
      66    1.88449732E-05    2.12882183E-03    2.12661624E-03    2.19865458E+00   -4.25251535E-03
      67    1.98507237E-05    2.19557296E-03    2.19321152E-03    2.35442367E+00   -4.37598667E-03
      68    1.98507237E-05    2.19557296E-03    2.19321152E-03    2.35442367E+00   -4.37598667E-03
      69    1.98507237E-05    2.19557296E-03    2.19321152E-03    2.35442367E+00   -4.37598667E-03
      70    2.08560000E-05    2.25612005E-03    2.25361378E-03    2.49919361E+00   -4.48799765E-03
      71    2.08560000E-05    2.25612005E-03    2.25361378E-03    2.49919361E+00   -4.48799765E-03
      72    2.18608609E-05    2.31114418E-03    2.30850348E-03    2.63358285E+00   -4.58984183E-03
      73    2.18608609E-05    2.31114418E-03    2.30850348E-03    2.63358285E+00   -4.58984183E-03
      74    2.28653553E-05    2.36125082E-03    2.35848540E-03    2.75827105E+00   -4.68265412E-03
      75    2.28653553E-05    2.36125082E-03    2.35848540E-03    2.75827105E+00   -4.68265412E-03
      76    2.38695245E-05    2.40697544E-03    2.40409433E-03    2.87395472E+00   -4.76742885E-03
      77    2.38695245E-05    2.40697544E-03    2.40409433E-03    2.87395472E+00   -4.76742885E-03
      78    2.48734021E-05    2.44879022E-03    2.44580174E-03    2.98131901E+00   -4.84503678E-03
      79    2.48734021E-05    2.44879022E-03    2.44580174E-03    2.98131901E+00   -4.84503678E-03
      80    2.58770219E-05    2.48711113E-03    2.48402294E-03    3.08102158E+00   -4.91624135E-03
      81    2.58770219E-05    2.48711113E-03    2.48402294E-03    3.08102158E+00   -4.91624135E-03
      82    2.68804080E-05    2.52230410E-03    2.51912326E-03    3.17368190E+00   -4.98171186E-03
      83    2.78835830E-05    2.55469141E-03    2.55142439E-03    3.25987737E+00   -5.04203639E-03
      84    2.88865668E-05    2.58455707E-03    2.58120979E-03    3.34014164E+00   -5.09773244E-03
      85    2.98893748E-05    2.61215161E-03    2.60872952E-03    3.41496496E+00   -5.14925612E-03
      86    3.08920259E-05    2.63769656E-03    2.63420466E-03    3.48479642E+00   -5.19701062E-03
      87    3.18945317E-05    2.66138788E-03    2.65783075E-03    3.55004556E+00   -5.24135260E-03
      88    3.28969043E-05    2.68339939E-03    2.67978124E-03    3.61108560E+00   -5.28259851E-03
      89    3.38991542E-05    2.70388551E-03    2.70021021E-03    3.66825624E+00   -5.32102970E-03
      90    3.49012911E-05    2.72298374E-03    2.71925484E-03    3.72186645E+00   -5.35689678E-03
      91    3.59033235E-05    2.74081670E-03    2.73703749E-03    3.77219719E+00   -5.39042352E-03
      92    3.62087356E-05    2.74601785E-03    2.74222392E-03    3.78692613E+00   -5.40020863E-03
      93    3.69052591E-05    2.75749400E-03    2.75366751E-03    3.81950403E+00   -5.42181011E-03
      94    3.79071013E-05    2.77311376E-03    2.76924277E-03    3.86401936E+00   -5.45123590E-03
      95    3.89088636E-05    2.78776418E-03    2.78385127E-03    3.90595522E+00   -5.47886235E-03
      96    3.99105482E-05    2.80152439E-03    2.79757195E-03    3.94550433E+00   -5.50483444E-03
      97    4.09121601E-05    2.81446575E-03    2.81047599E-03    3.98284259E+00   -5.52928305E-03
      98    9.30289491E-05    3.05583050E-03    3.05111931E-03    4.70476300E+00   -5.99002709E-03
      99    9.49842663E-05    3.05880398E-03    3.05408359E-03    4.71396390E+00   -5.99577172E-03
     100    9.98065533E-05    3.06550369E-03    3.06076256E-03    4.73472324E+00   -6.00872286E-03
